team,player,minute,x_start,y_start,x_end,y_end
France,Antoine Griezmann,0,61.0,40.1,48.0,43.2
France,Aurélien Djani Tchouaméni,0,49.7,43.6,96.0,1.8
Argentina,Nahuel Molina Lucero,0,22.7,80.0,36.0,75.2
Argentina,Rodrigo Javier De Paul,0,41.1,73.9,23.2,62.8
Argentina,Cristian Gabriel Romero,0,24.7,59.4,21.5,32.2
Argentina,Nicolás Hernán Otamendi,0,24.0,27.1,21.7,49.3
Argentina,Cristian Gabriel Romero,0,22.1,49.8,24.0,27.3
Argentina,Nicolás Hernán Otamendi,0,21.7,24.5,26.6,3.1
Argentina,Nicolás Alejandro Tagliafico,0,29.2,2.5,45.6,4.2
Argentina,Nicolás Alejandro Tagliafico,1,44.1,3.8,20.8,11.9
Argentina,Nicolás Hernán Otamendi,1,21.7,17.7,19.7,33.3
Argentina,Cristian Gabriel Romero,1,30.9,42.5,27.9,22.6
Argentina,Nicolás Hernán Otamendi,1,29.8,29.2,27.0,45.9
Argentina,Cristian Gabriel Romero,1,32.1,54.5,25.9,31.6
Argentina,Nicolás Hernán Otamendi,1,24.7,29.0,5.6,42.3
Argentina,Damián Emiliano Martínez,1,3.9,43.4,53.1,72.9
France,Theo Bernard François Hernández,1,68.5,5.7,72.1,13.4
France,Adrien Rabiot,1,72.3,13.4,73.6,4.7
France,Theo Bernard François Hernández,1,73.2,4.0,47.1,7.4
France,Theo Bernard François Hernández,1,61.2,7.0,44.1,37.4
France,Raphaël Varane,2,53.1,44.9,45.2,67.1
France,Jules Koundé,2,43.2,70.3,58.2,77.4
Argentina,Nicolás Alejandro Tagliafico,2,72.6,0.1,69.6,7.6
Argentina,Alexis Mac Allister,2,67.4,20.7,77.5,36.9
Argentina,Lionel Andrés Messi Cuccittini,2,76.6,35.7,116.2,8.9
Argentina,Ángel Fabián Di María Hernández,2,116.0,8.9,104.9,49.3
Argentina,Rodrigo Javier De Paul,2,93.1,53.2,100.4,57.7
Argentina,Lionel Andrés Messi Cuccittini,2,99.3,57.3,96.7,49.8
Argentina,Rodrigo Javier De Paul,2,96.7,49.8,110.9,44.6
France,Hugo Lloris,3,9.2,35.5,67.8,60.7
France,Olivier Giroud,3,67.8,60.7,75.5,63.3
Argentina,Alexis Mac Allister,3,48.9,15.4,39.2,16.6
Argentina,Nicolás Hernán Otamendi,3,37.4,19.2,26.0,29.3
Argentina,Cristian Gabriel Romero,3,27.4,29.9,64.2,43.6
Argentina,Rodrigo Javier De Paul,3,64.2,43.6,57.2,26.7
Argentina,Nicolás Hernán Otamendi,3,57.2,26.7,54.4,37.8
Argentina,Enzo Fernandez,3,54.8,37.8,56.5,60.5
Argentina,Cristian Gabriel Romero,3,56.1,61.3,67.9,73.5
Argentina,Nahuel Molina Lucero,3,68.9,74.4,79.0,59.8
France,Adrien Rabiot,3,47.5,14.5,50.5,20.7
Argentina,Lionel Andrés Messi Cuccittini,3,67.9,59.0,49.0,60.3
Argentina,Cristian Gabriel Romero,3,50.5,58.1,89.3,3.6
Argentina,Ángel Fabián Di María Hernández,4,89.5,3.4,82.4,7.4
Argentina,Nicolás Alejandro Tagliafico,4,82.4,7.4,96.1,14.3
Argentina,Alexis Mac Allister,4,96.1,14.3,106.4,3.1
Argentina,Nicolás Alejandro Tagliafico,4,108.9,0.1,93.1,5.7
Argentina,Alexis Mac Allister,4,87.8,7.6,82.6,35.0
France,Kylian Mbappé Lottin,4,38.8,46.8,32.1,30.5
France,Adrien Rabiot,4,31.3,28.2,33.4,7.9
France,Theo Bernard François Hernández,4,33.6,7.9,38.3,14.9
Argentina,Lionel Andrés Messi Cuccittini,4,81.8,65.2,70.2,67.7
Argentina,Rodrigo Javier De Paul,4,84.6,49.8,103.6,15.5
France,Jules Koundé,4,16.5,64.6,28.3,71.4
France,Ousmane Dembélé,4,28.3,71.4,17.2,77.2
France,Jules Koundé,4,17.2,77.2,27.2,68.4
France,Antoine Griezmann,4,27.6,68.2,21.4,60.3
Argentina,Julián Álvarez,4,98.7,19.8,92.3,21.5
France,Hugo Lloris,4,8.8,41.9,76.0,42.1
Argentina,Enzo Fernandez,4,56.5,39.7,66.4,42.9
France,Adrien Rabiot,4,53.1,36.3,41.3,35.7
France,Dayotchanculle Upamecano,4,41.5,35.7,58.7,7.4
France,Theo Bernard François Hernández,5,61.6,7.7,69.3,5.3
France,Kylian Mbappé Lottin,5,68.7,5.9,56.1,10.2
France,Theo Bernard François Hernández,5,55.7,10.2,41.3,16.2
France,Dayotchanculle Upamecano,5,36.8,21.3,41.1,38.2
France,Aurélien Djani Tchouaméni,5,43.9,51.3,66.8,60.1
France,Jules Koundé,5,56.7,76.7,21.9,51.3
France,Hugo Lloris,5,19.9,51.1,27.2,56.6
France,Raphaël Varane,5,39.4,51.9,42.2,25.2
France,Dayotchanculle Upamecano,5,44.3,23.3,69.3,5.1
France,Theo Bernard François Hernández,5,46.5,34.4,40.7,54.7
France,Jules Koundé,5,37.9,54.7,34.5,34.8
France,Raphaël Varane,5,36.8,36.7,45.8,32.3
France,Adrien Rabiot,5,53.3,33.3,51.6,62.4
France,Ousmane Dembélé,6,64.6,76.1,44.1,71.4
France,Jules Koundé,6,42.4,66.0,33.2,55.6
France,Raphaël Varane,6,33.6,32.7,39.4,26.9
France,Dayotchanculle Upamecano,6,46.7,22.6,54.6,39.1
France,Raphaël Varane,6,46.0,48.7,39.6,25.4
France,Dayotchanculle Upamecano,6,39.6,25.2,33.8,36.5
France,Raphaël Varane,6,25.3,51.5,23.1,26.7
France,Dayotchanculle Upamecano,6,23.6,27.3,50.9,64.1
France,Ousmane Dembélé,6,52.2,66.7,45.8,60.5
France,Antoine Griezmann,6,51.8,59.0,51.2,45.5
France,Aurélien Djani Tchouaméni,6,63.8,13.0,61.0,5.1
France,Adrien Rabiot,6,52.9,6.6,53.5,19.2
France,Aurélien Djani Tchouaméni,6,50.9,26.0,46.0,49.4
France,Raphaël Varane,7,67.0,51.1,99.9,8.9
Argentina,Rodrigo Javier De Paul,7,20.2,71.2,16.1,60.3
Argentina,Nahuel Molina Lucero,7,16.3,60.3,47.1,63.9
Argentina,Enzo Fernandez,7,34.3,50.2,38.8,53.4
Argentina,Lionel Andrés Messi Cuccittini,7,39.2,48.1,65.3,35.4
Argentina,Alexis Mac Allister,7,75.8,26.9,94.2,14.1
Argentina,Ángel Fabián Di María Hernández,7,98.5,10.2,92.9,11.3
Argentina,Alexis Mac Allister,7,89.5,12.3,84.1,21.3
Argentina,Enzo Fernandez,7,88.0,23.9,93.7,20.3
Argentina,Julián Álvarez,7,110.6,17.9,106.4,12.3
Argentina,Ángel Fabián Di María Hernández,7,115.1,21.3,98.7,51.7
Argentina,Lionel Andrés Messi Cuccittini,8,120.0,80.0,116.6,54.5
Argentina,Rodrigo Javier De Paul,8,95.2,65.6,107.9,72.9
Argentina,Lionel Andrés Messi Cuccittini,8,108.2,74.4,86.3,67.5
Argentina,Rodrigo Javier De Paul,8,87.7,67.7,108.7,41.5
France,Hugo Lloris,11,9.0,38.2,80.5,56.0
France,Olivier Giroud,11,74.3,58.3,88.2,63.5
Argentina,Nicolás Alejandro Tagliafico,11,31.9,16.6,51.6,26.5
France,Adrien Rabiot,11,68.5,53.6,79.2,62.8
France,Antoine Griezmann,11,78.5,63.3,82.6,57.3
France,Olivier Giroud,11,79.8,58.1,84.5,49.4
Argentina,Cristian Gabriel Romero,11,35.6,33.9,39.4,30.5
Argentina,Rodrigo Javier De Paul,11,31.5,28.8,42.0,22.2
Argentina,Alexis Mac Allister,11,41.8,22.0,44.8,3.6
Argentina,Ángel Fabián Di María Hernández,11,43.9,2.7,31.1,5.3
Argentina,Nicolás Alejandro Tagliafico,11,31.1,5.3,18.7,14.1
Argentina,Nicolás Hernán Otamendi,11,18.0,14.7,6.0,33.5
Argentina,Damián Emiliano Martínez,11,6.5,41.6,10.1,48.9
Argentina,Cristian Gabriel Romero,11,9.3,48.9,27.9,48.1
Argentina,Enzo Fernandez,11,33.9,51.1,112.1,58.1
France,Raphaël Varane,11,8.0,22.0,2.6,29.0
France,Hugo Lloris,11,3.3,29.7,53.1,19.2
Argentina,Nahuel Molina Lucero,11,67.0,60.9,64.7,49.3
Argentina,Enzo Fernandez,11,68.3,51.1,76.9,63.9
Argentina,Rodrigo Javier De Paul,11,79.8,70.1,79.8,54.3
Argentina,Lionel Andrés Messi Cuccittini,11,80.5,47.8,105.1,14.7
Argentina,Ángel Fabián Di María Hernández,11,106.4,16.2,106.4,39.1
Argentina,Ángel Fabián Di María Hernández,12,101.9,13.0,96.7,23.7
Argentina,Rodrigo Javier De Paul,12,96.7,24.7,97.8,33.7
France,Hugo Lloris,12,15.4,36.1,84.7,48.9
