team,player,minute,x,y
France,Antoine Griezmann,0,61.0,40.1
France,Aurélien Djani Tchouaméni,0,49.7,43.6
Argentina,Nahuel Molina Lucero,0,22.7,80.0
Argentina,Rodrigo Javier De Paul,0,41.1,73.9
Argentina,Cristian Gabriel Romero,0,24.7,59.4
Argentina,Nicolás Hernán Otamendi,0,24.0,27.1
Argentina,Cristian Gabriel Romero,0,22.1,49.8
Argentina,Nicolás Hernán Otamendi,0,21.7,24.5
Argentina,Nicolás Alejandro Tagliafico,0,29.2,2.5
Argentina,Nicolás Alejandro Tagliafico,1,44.1,3.8
Argentina,Nicolás Hernán Otamendi,1,21.7,17.7
Argentina,Cristian Gabriel Romero,1,30.9,42.5
Argentina,Nicolás Hernán Otamendi,1,29.8,29.2
Argentina,Cristian Gabriel Romero,1,32.1,54.5
Argentina,Nicolás Hernán Otamendi,1,24.7,29.0
Argentina,Damián Emiliano Martínez,1,3.9,43.4
France,Theo Bernard François Hernández,1,68.5,5.7
France,Adrien Rabiot,1,72.3,13.4
France,Theo Bernard François Hernández,1,73.2,4.0
France,Theo Bernard François Hernández,1,61.2,7.0
France,Raphaël Varane,2,53.1,44.9
France,Jules Koundé,2,43.2,70.3
Argentina,Nicolás Alejandro Tagliafico,2,72.6,0.1
Argentina,Alexis Mac Allister,2,67.4,20.7
Argentina,Lionel Andrés Messi Cuccittini,2,76.6,35.7
Argentina,Ángel Fabián Di María Hernández,2,116.0,8.9
Argentina,Rodrigo Javier De Paul,2,93.1,53.2
Argentina,Lionel Andrés Messi Cuccittini,2,99.3,57.3
Argentina,Rodrigo Javier De Paul,2,96.7,49.8
France,Hugo Lloris,3,9.2,35.5
France,Olivier Giroud,3,67.8,60.7
Argentina,Alexis Mac Allister,3,48.9,15.4
Argentina,Nicolás Hernán Otamendi,3,37.4,19.2
Argentina,Cristian Gabriel Romero,3,27.4,29.9
Argentina,Rodrigo Javier De Paul,3,64.2,43.6
Argentina,Nicolás Hernán Otamendi,3,57.2,26.7
Argentina,Enzo Fernandez,3,54.8,37.8
Argentina,Cristian Gabriel Romero,3,56.1,61.3
Argentina,Nahuel Molina Lucero,3,68.9,74.4
France,Adrien Rabiot,3,47.5,14.5
Argentina,Lionel Andrés Messi Cuccittini,3,67.9,59.0
Argentina,Cristian Gabriel Romero,3,50.5,58.1
Argentina,Ángel Fabián Di María Hernández,4,89.5,3.4
Argentina,Nicolás Alejandro Tagliafico,4,82.4,7.4
Argentina,Alexis Mac Allister,4,96.1,14.3
Argentina,Nicolás Alejandro Tagliafico,4,108.9,0.1
Argentina,Alexis Mac Allister,4,87.8,7.6
France,Kylian Mbappé Lottin,4,38.8,46.8
France,Adrien Rabiot,4,31.3,28.2
France,Theo Bernard François Hernández,4,33.6,7.9
Argentina,Lionel Andrés Messi Cuccittini,4,81.8,65.2
Argentina,Rodrigo Javier De Paul,4,84.6,49.8
France,Jules Koundé,4,16.5,64.6
France,Ousmane Dembélé,4,28.3,71.4
France,Jules Koundé,4,17.2,77.2
France,Antoine Griezmann,4,27.6,68.2
Argentina,Julián Álvarez,4,98.7,19.8
France,Hugo Lloris,4,8.8,41.9
Argentina,Enzo Fernandez,4,56.5,39.7
France,Adrien Rabiot,4,53.1,36.3
France,Dayotchanculle Upamecano,4,41.5,35.7
France,Theo Bernard François Hernández,5,61.6,7.7
France,Kylian Mbappé Lottin,5,68.7,5.9
France,Theo Bernard François Hernández,5,55.7,10.2
France,Dayotchanculle Upamecano,5,36.8,21.3
France,Aurélien Djani Tchouaméni,5,43.9,51.3
France,Jules Koundé,5,56.7,76.7
France,Hugo Lloris,5,19.9,51.1
France,Raphaël Varane,5,39.4,51.9
France,Dayotchanculle Upamecano,5,44.3,23.3
France,Theo Bernard François Hernández,5,46.5,34.4
France,Jules Koundé,5,37.9,54.7
France,Raphaël Varane,5,36.8,36.7
France,Adrien Rabiot,5,53.3,33.3
France,Ousmane Dembélé,6,64.6,76.1
France,Jules Koundé,6,42.4,66.0
France,Raphaël Varane,6,33.6,32.7
France,Dayotchanculle Upamecano,6,46.7,22.6
France,Raphaël Varane,6,46.0,48.7
France,Dayotchanculle Upamecano,6,39.6,25.2
France,Raphaël Varane,6,25.3,51.5
France,Dayotchanculle Upamecano,6,23.6,27.3
France,Ousmane Dembélé,6,52.2,66.7
France,Antoine Griezmann,6,51.8,59.0
France,Aurélien Djani Tchouaméni,6,63.8,13.0
France,Adrien Rabiot,6,52.9,6.6
France,Aurélien Djani Tchouaméni,6,50.9,26.0
France,Raphaël Varane,7,67.0,51.1
Argentina,Rodrigo Javier De Paul,7,20.2,71.2
Argentina,Nahuel Molina Lucero,7,16.3,60.3
Argentina,Enzo Fernandez,7,34.3,50.2
Argentina,Lionel Andrés Messi Cuccittini,7,39.2,48.1
Argentina,Alexis Mac Allister,7,75.8,26.9
Argentina,Ángel Fabián Di María Hernández,7,98.5,10.2
Argentina,Alexis Mac Allister,7,89.5,12.3
Argentina,Enzo Fernandez,7,88.0,23.9
Argentina,Julián Álvarez,7,110.6,17.9
Argentina,Ángel Fabián Di María Hernández,7,115.1,21.3
Argentina,Lionel Andrés Messi Cuccittini,8,120.0,80.0
Argentina,Rodrigo Javier De Paul,8,95.2,65.6
Argentina,Lionel Andrés Messi Cuccittini,8,108.2,74.4
Argentina,Rodrigo Javier De Paul,8,87.7,67.7
France,Hugo Lloris,11,9.0,38.2
France,Olivier Giroud,11,74.3,58.3
Argentina,Nicolás Alejandro Tagliafico,11,31.9,16.6
France,Adrien Rabiot,11,68.5,53.6
France,Antoine Griezmann,11,78.5,63.3
France,Olivier Giroud,11,79.8,58.1
Argentina,Cristian Gabriel Romero,11,35.6,33.9
Argentina,Rodrigo Javier De Paul,11,31.5,28.8
Argentina,Alexis Mac Allister,11,41.8,22.0
Argentina,Ángel Fabián Di María Hernández,11,43.9,2.7
Argentina,Nicolás Alejandro Tagliafico,11,31.1,5.3
Argentina,Nicolás Hernán Otamendi,11,18.0,14.7
Argentina,Damián Emiliano Martínez,11,6.5,41.6
Argentina,Cristian Gabriel Romero,11,9.3,48.9
Argentina,Enzo Fernandez,11,33.9,51.1
France,Raphaël Varane,11,8.0,22.0
France,Hugo Lloris,11,3.3,29.7
Argentina,Nahuel Molina Lucero,11,67.0,60.9
Argentina,Enzo Fernandez,11,68.3,51.1
Argentina,Rodrigo Javier De Paul,11,79.8,70.1
Argentina,Lionel Andrés Messi Cuccittini,11,80.5,47.8
Argentina,Ángel Fabián Di María Hernández,11,106.4,16.2
Argentina,Ángel Fabián Di María Hernández,12,101.9,13.0
Argentina,Rodrigo Javier De Paul,12,96.7,24.7
France,Hugo Lloris,12,15.4,36.1
Argentina,Nicolás Hernán Otamendi,12,35.4,31.2
France,Raphaël Varane,12,45.2,52.4
France,Antoine Griezmann,12,66.4,74.4
France,Jules Koundé,12,61.2,77.4
France,Ousmane Dembélé,12,90.3,66.3
France,Theo Bernard François Hernández,13,94.2,17.7
France,Kylian Mbappé Lottin,13,99.1,19.2
France,Adrien Rabiot,13,99.5,28.2
Argentina,Damián Emiliano Martínez,13,4.8,42.3
Argentina,Nicolás Hernán Otamendi,13,22.3,23.0
Argentina,Enzo Fernandez,13,31.5,26.0
Argentina,Nicolás Hernán Otamendi,13,23.4,21.5
Argentina,Cristian Gabriel Romero,13,16.5,55.1
Argentina,Julián Álvarez,13,57.6,43.6
Argentina,Lionel Andrés Messi Cuccittini,13,52.5,56.4
Argentina,Julián Álvarez,13,59.5,52.6
Argentina,Alexis Mac Allister,13,63.8,33.7
Argentina,Ángel Fabián Di María Hernández,13,86.5,22.2
Argentina,Lionel Andrés Messi Cuccittini,13,95.2,48.5
Argentina,Nicolás Alejandro Tagliafico,13,94.8,20.5
France,Hugo Lloris,14,13.9,48.5
France,Olivier Giroud,14,76.6,64.8
France,Ousmane Dembélé,14,89.5,75.9
France,Olivier Giroud,14,79.8,74.4
Argentina,Julián Álvarez,14,46.7,24.5
